current_density_A_cm2,value,panel_printed_title,temperature_K,uncertainty_approx,interpolated_gap
0.0000,1.01296,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.02391,False
0.0426,0.97161,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.02391,False
0.0852,0.94133,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.02391,False
0.1278,0.92273,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.02391,False
0.1704,0.90575,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.02391,False
0.2130,0.88877,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.02391,False
0.2556,0.87391,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.02391,False
0.2981,0.85975,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.02391,False
0.3407,0.84534,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.02391,False
0.3833,0.83129,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.02391,False
0.4259,0.81659,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.02391,False
0.4685,0.80253,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.02391,False
0.5111,0.78807,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.02391,False
0.5537,0.77296,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.02391,False
0.5963,0.75678,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.02391,False
0.6389,0.74106,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.02391,False
0.6815,0.72443,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.02391,False
0.7241,0.70720,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.02391,False
0.7667,0.68921,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.02391,False
0.8093,0.67060,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.02391,False
0.8519,0.65018,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.02391,False
0.8944,0.78309,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.02391,False
0.9370,0.76851,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.02391,False
0.9796,0.57936,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.02391,False
1.0222,0.56183,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.02391,False
1.0648,0.56183,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.02391,False
1.1074,0.56183,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.02391,False
1.1500,0.56183,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.02391,False
