current_density_A_cm2,value,panel_printed_title,temperature_K,uncertainty_approx,interpolated_gap
0.0000,57.50814,Efficiency (%),373.15,0.1004,False
0.0426,55.94764,Efficiency (%),373.15,0.1004,False
0.0852,53.69858,Efficiency (%),373.15,0.1004,False
0.1278,52.57555,Efficiency (%),373.15,0.1004,False
0.1704,51.58282,Efficiency (%),373.15,0.1004,False
0.2130,50.64272,Efficiency (%),373.15,0.1004,False
0.2556,49.75570,Efficiency (%),373.15,0.1004,False
0.2981,48.88678,Efficiency (%),373.15,0.1004,False
0.3407,48.06792,Efficiency (%),373.15,0.1004,False
0.3833,47.27063,Efficiency (%),373.15,0.1004,False
0.4259,46.47334,Efficiency (%),373.15,0.1004,False
0.4685,45.61090,Efficiency (%),373.15,0.1004,False
0.5111,44.80456,Efficiency (%),373.15,0.1004,False
0.5537,43.89251,Efficiency (%),373.15,0.1004,False
0.5963,43.06671,Efficiency (%),373.15,0.1004,False
0.6389,42.09600,Efficiency (%),373.15,0.1004,False
0.6815,41.16842,Efficiency (%),373.15,0.1004,False
0.7241,40.17568,Efficiency (%),373.15,0.1004,False
0.7667,39.16395,Efficiency (%),373.15,0.1004,False
0.8093,38.02932,Efficiency (%),373.15,0.1004,False
0.8519,36.88684,Efficiency (%),373.15,0.1004,False
0.8944,35.68359,Efficiency (%),373.15,0.1004,False
0.9370,34.29998,Efficiency (%),373.15,0.1004,False
0.9796,32.81970,Efficiency (%),373.15,0.1004,False
1.0222,31.77524,Efficiency (%),373.15,0.1004,False
1.0648,31.77524,Efficiency (%),373.15,0.1004,False
1.1074,31.77524,Efficiency (%),373.15,0.1004,False
1.1500,31.77524,Efficiency (%),373.15,0.1004,False
